Collision system initialized with bump.lua
[COLLISION] Added entity to bump world at (100.0, 100.0) size 16x16 type=dynamic
[COLLISION] Added entity to bump world at (200.0, 200.0) size 16x16 type=static
[COLLISION] Added entity to bump world at (216.0, 200.0) size 16x16 type=static
[COLLISION] Added entity to bump world at (232.0, 200.0) size 16x16 type=static
[COLLISION] Added entity to bump world at (248.0, 200.0) size 16x16 type=static
[COLLISION] Added entity to bump world at (248.0, 216.0) size 16x16 type=static
[COLLISION] Added entity to bump world at (248.0, 232.0) size 16x16 type=static
[COLLISION] Added entity to bump world at (300.0, 100.0) size 16x16 type=static
[COLLISION] Added entity to bump world at (300.0, 116.0) size 16x16 type=static
[COLLISION] Added entity to bump world at (300.0, 132.0) size 16x16 type=static
[COLLISION] Added entity to bump world at (300.0, 148.0) size 16x16 type=static
[COLLISION] Added entity to bump world at (300.0, 300.0) size 16x16 type=dynamic
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.1, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.1, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.1, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.1, 184.0) has 1 collision(s)
[COLLISION] Entity at (204.1, 184.0) has 1 collision(s)
[COLLISION] Entity at (203.9, 184.0) has 1 collision(s)
[COLLISION] Entity at (203.6, 184.0) has 1 collision(s)
[COLLISION] Entity at (203.2, 184.0) has 1 collision(s)
[COLLISION] Entity at (202.7, 184.0) has 1 collision(s)
[COLLISION] Entity at (187.4, 184.0) has 1 collision(s)
[COLLISION] Entity at (187.0, 184.0) has 1 collision(s)
[COLLISION] Entity at (186.6, 184.0) has 1 collision(s)
[COLLISION] Entity at (186.3, 184.0) has 1 collision(s)
[COLLISION] Entity at (186.1, 184.0) has 1 collision(s)
[COLLISION] Entity at (185.9, 184.0) has 1 collision(s)
[COLLISION] Entity at (185.7, 184.0) has 1 collision(s)
[COLLISION] Entity at (185.6, 184.0) has 1 collision(s)
